場所,芝・ダ,距離,レース馬数,勝利数,複勝数,単勝率,複勝率
中京,ダ,1200,570,37,112,0.0649,0.1965
中京,ダ,1400,668,44,133,0.0659,0.1991
中京,ダ,1800,782,63,186,0.0806,0.2379
中京,ダ,1900,338,25,75,0.074,0.2219
中京,芝,1200,325,22,66,0.0677,0.2031
中京,芝,1400,454,32,96,0.0705,0.2115
中京,芝,1600,518,43,129,0.083,0.249
中京,芝,2000,566,52,156,0.0919,0.2756
中京,芝,2200,306,29,87,0.0948,0.2843
中山,ダ,1200,1448,94,282,0.0649,0.1948
中山,ダ,1800,1463,103,306,0.0704,0.2092
中山,ダ,2400,239,16,48,0.0669,0.2008
中山,ダ,2500,22,2,6,0.0909,0.2727
中山,芝,1200,569,41,124,0.0721,0.2179
中山,芝,1600,765,58,174,0.0758,0.2275
中山,芝,1800,451,36,108,0.0798,0.2395
中山,芝,2000,387,30,90,0.0775,0.2326
中山,芝,2200,191,16,49,0.0838,0.2565
中山,芝,2500,211,17,51,0.0806,0.2417
京都,ダ,1200,564,37,111,0.0656,0.1968
京都,ダ,1400,594,40,120,0.0673,0.202
京都,ダ,1800,831,65,195,0.0782,0.2347
京都,ダ,1900,327,25,75,0.0765,0.2294
京都,芝,1200,242,16,48,0.0661,0.1983
京都,芝,1400,442,31,93,0.0701,0.2104
京都,芝,1600,436,37,111,0.0849,0.2546
京都,芝,1800,280,29,87,0.1036,0.3107
京都,芝,2000,283,26,78,0.0919,0.2756
京都,芝,2200,157,14,42,0.0892,0.2675
京都,芝,2400,116,11,33,0.0948,0.2845
京都,芝,3000,17,1,3,0.0588,0.1765
函館,ダ,1000,279,24,72,0.086,0.2581
函館,ダ,1700,656,54,162,0.0823,0.247
函館,ダ,2400,29,3,9,0.1034,0.3103
函館,芝,1200,730,58,171,0.0795,0.2342
函館,芝,1800,322,26,78,0.0807,0.2422
函館,芝,2000,207,19,57,0.0918,0.2754
函館,芝,2600,132,12,36,0.0909,0.2727
小倉,ダ,1000,332,25,75,0.0753,0.2259
小倉,ダ,1700,1412,96,288,0.068,0.204
小倉,ダ,2400,37,3,9,0.0811,0.2432
小倉,芝,1200,1203,80,240,0.0665,0.1995
小倉,芝,1800,613,47,141,0.0767,0.23
小倉,芝,2000,514,43,129,0.0837,0.251
小倉,芝,2600,235,20,60,0.0851,0.2553
新潟,ダ,1200,960,68,201,0.0708,0.2094
新潟,ダ,1800,1118,81,243,0.0725,0.2174
新潟,芝,1000,608,36,108,0.0592,0.1776
新潟,芝,1200,343,22,66,0.0641,0.1924
新潟,芝,1400,394,24,73,0.0609,0.1853
新潟,芝,1600,325,22,66,0.0677,0.2031
新潟,芝,1800,462,36,108,0.0779,0.2338
新潟,芝,2000,285,24,72,0.0842,0.2526
新潟,芝,2200,198,15,45,0.0758,0.2273
新潟,芝,2400,61,5,15,0.082,0.2459
札幌,ダ,1000,218,19,57,0.0872,0.2615
札幌,ダ,1700,704,54,162,0.0767,0.2301
札幌,芝,1200,420,29,88,0.069,0.2095
札幌,芝,1500,274,21,63,0.0766,0.2299
札幌,芝,1800,269,22,66,0.0818,0.2454
札幌,芝,2000,345,27,81,0.0783,0.2348
札幌,芝,2600,200,16,48,0.08,0.24
東京,ダ,1300,297,19,57,0.064,0.1919
東京,ダ,1400,1527,98,294,0.0642,0.1925
東京,ダ,1600,1707,117,351,0.0685,0.2056
東京,ダ,2100,743,50,150,0.0673,0.2019
東京,芝,1400,945,68,205,0.072,0.2169
東京,芝,1600,739,60,180,0.0812,0.2436
東京,芝,1800,581,52,156,0.0895,0.2685
東京,芝,2000,587,53,159,0.0903,0.2709
東京,芝,2300,39,4,12,0.1026,0.3077
東京,芝,2400,475,45,135,0.0947,0.2842
東京,芝,2500,7,1,3,0.1429,0.4286
福島,ダ,1150,761,50,150,0.0657,0.1971
福島,ダ,1700,863,62,186,0.0718,0.2155
福島,芝,1200,903,63,189,0.0698,0.2093
福島,芝,1800,452,31,93,0.0686,0.2058
福島,芝,2000,386,29,87,0.0751,0.2254
福島,芝,2600,317,24,72,0.0757,0.2271
阪神,ダ,1200,919,62,186,0.0675,0.2024
阪神,ダ,1400,1003,69,207,0.0688,0.2064
阪神,ダ,1800,1238,98,294,0.0792,0.2375
阪神,ダ,2000,312,25,75,0.0801,0.2404
阪神,芝,1200,354,26,78,0.0734,0.2203
阪神,芝,1400,551,41,123,0.0744,0.2232
阪神,芝,1600,537,44,132,0.0819,0.2458
阪神,芝,1800,453,42,126,0.0927,0.2781
阪神,芝,2000,395,37,111,0.0937,0.281
阪神,芝,2200,111,11,33,0.0991,0.2973
阪神,芝,2400,244,25,75,0.1025,0.3074
阪神,芝,2600,40,4,12,0.1,0.3
阪神,芝,3000,39,3,9,0.0769,0.2308
